,tsne_x,tsne_y,robo_group,title,paragraphs,sponsor,url
0,-236936420.75976333,-342755905.5353533,19,S2 Congressional Accountability Act of 1995 104th Congress 1995 1996,278,"Sen. Grassley, Chuck [R-IA]",https://www.congress.gov/bill/104th-congress/senate-bill/2/text
1,2934065566.3409286,-913892878.1032989,18,HR421 To amend the Alaska Native Claims Settlement Act to provide for the purchase of common stock of Cook Inlet Region and for other purposes 104th Congress 1995 1996,22,"Rep. Young, Don [R-AK-At Large]",https://www.congress.gov/bill/104th-congress/house-bill/421/text
2,564005485.3102032,-476470230.5973841,7,HR1606 An Act to designate the United States Post Office building located at 24 Corliss Street Providence Rhode Island as the Harry Kizirian Post Office Building to amend chapter 2 of title 39 United States Code to adjust the salary of the Board of Governors of the United States Postal Service and for other purposes 104th Congress 1995 1996,13,"Rep. Reed, Jack [D-RI-2]",https://www.congress.gov/bill/104th-congress/house-bill/1606/text
3,232176446.47142816,-119952473.6595572,14,HR2061 To designate the Federal building located at 1550 Dewey Avenue Baker City Oregon as the David J Wheeler Federal Building 104th Congress 1995 1996,14,"Rep. Cooley, Wes [R-OR-2]",https://www.congress.gov/bill/104th-congress/house-bill/2061/text
4,-5089681827.183576,687548845.1111944,18,S1341 Saddleback Mountain Arizona Settlement Act of 1995 104th Congress 1995 1996,35,"Sen. McCain, John [R-AZ]",https://www.congress.gov/bill/104th-congress/senate-bill/1341/text
5,-49117076.36363081,759077770.9939774,19,HR2924 To guarantee the timely payment of social security benefits in March 1996 104th Congress 1995 1996,13,"Rep. Archer, Bill [R-TX-7]",https://www.congress.gov/bill/104th-congress/house-bill/2924/text
6,-38365727.01918155,-108730484.6812829,9,S652 Telecommunications Act of 1996 104th Congress 1995 1996,570,"Sen. Pressler, Larry [R-SD]",https://www.congress.gov/bill/104th-congress/senate-bill/652/text
7,495057184.7658123,1267979798.3131797,19,HR2029 Farm Credit System Reform Act of 1996 104th Congress 1995 1996,188,"Rep. Allard, Wayne [R-CO-4]",https://www.congress.gov/bill/104th-congress/house-bill/2029/text
8,10657236319.033426,-1252560057.041642,16,S1124 National Defense Authorization Act for Fiscal Year 1996 104th Congress 1995 1996,3763,"Sen. Thurmond, Strom [R-SC]",https://www.congress.gov/bill/104th-congress/senate-bill/1124/text
9,3784574795.55997,-2468723337.5499926,5,HR1868 Foreign Operations Export Financing and Related Programs Appropriations Act 1996 104th Congress 1995 1996,464,"Rep. Callahan, Sonny [R-AL-1]",https://www.congress.gov/bill/104th-congress/house-bill/1868/text
10,232909451.9507019,12825090683.706234,14,HR2111 To designate the Social Security Administrations Western Program Service Center located at 1221 Nevin Avenue Richmond California as the Francis J Hagel Building 104th Congress 1995 1996,14,"Rep. Miller, George [D-CA-7]",https://www.congress.gov/bill/104th-congress/house-bill/2111/text
11,-623145617.5015857,-1143544506.7030277,18,HR2726 To make certain technical corrections in laws relating to Native Americans and for other purposes 104th Congress 1995 1996,49,"Rep. Gallegly, Elton [R-CA-23]",https://www.congress.gov/bill/104th-congress/house-bill/2726/text
12,1008820662.1570395,-1887300730.5950594,13,HR517 Chacoan Outliers Protection Act of 1995 104th Congress 1995 1996,27,"Rep. Richardson, Bill [D-NM-3]",https://www.congress.gov/bill/104th-congress/house-bill/517/text
13,-65677767.64357442,-355177490.59609187,6,HR2353 An Act to amend title 38 United States Code to extend the authority of the Secretary of Veterans Affairs to carry out certain programs and activities and for other purposes 104th Congress 1995 1996,43,"Rep. Hutchinson, Tim [R-AR-3]",https://www.congress.gov/bill/104th-congress/house-bill/2353/text
14,-190435105.04870272,-3655024.1264715213,17,HR2657 To award a congressional gold medal to Ruth and Billy Graham 104th Congress 1995 1996,17,"Rep. Taylor, Charles H. [R-NC-11]",https://www.congress.gov/bill/104th-congress/house-bill/2657/text
15,4726174235.530872,-3104100760.9117746,2,HR1718 To designate the United States courthouse located at 197 South Main Street in Wilkes Barre Pennsylvania as the Max Rosenn United States Courthouse 104th Congress 1995 1996,14,"Rep. Kanjorski, Paul E. [D-PA-11]",https://www.congress.gov/bill/104th-congress/house-bill/1718/text
16,10281650561.845928,-3925036283.3663397,1,HR2196 National Technology and Advancement Act of 1995 104th Congress 1995 1996,66,"Rep. Morella, Constance A. [R-MD-8]",https://www.congress.gov/bill/104th-congress/house-bill/2196/text
17,2820714912.0554676,2686606246.088717,19,HR927 Cuban Liberty and Democratic Solidarity LIBERTAD Act of 1996 104th Congress 1995 1996,213,"Rep. Burton, Dan [R-IN-6]",https://www.congress.gov/bill/104th-congress/house-bill/927/text
18,49547259.83756271,128172101.91036601,19,HR3021 To guarantee the continuing full investment of Social Security and other Federal funds in obligations of the United States 104th Congress 1995 1996,13,"Rep. Archer, Bill [R-TX-7]",https://www.congress.gov/bill/104th-congress/house-bill/3021/text
19,-78154449.08488768,69008296.91379595,4,HJRes163 Making further continuing appropriations for the fiscal year 1996 and for other purposes 104th Congress 1995 1996,10,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/163/text
20,-998513255.6835624,67263375.45567262,19,HR2778 To provide that members of the Armed Forces performing services for the peacekeeping effort in the Republic of Bosnia and Herzegovina shall be entitled to certain tax benefits in the same manner as if such services were performed in a combat zone 104th Congress 1995 1996,19,"Rep. Bunning, Jim [R-KY-4]",https://www.congress.gov/bill/104th-congress/house-bill/2778/text
21,-5069064131.053987,1085941941.2861629,4,HJRes165 Making further continuing appropriations for the fiscal year 1996 and for other purposes 104th Congress 1995 1996,10,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/165/text
22,-63453865.12119618,-615517716.6049805,18,HR2036 Land Disposal Program Flexibility Act of 1996 104th Congress 1995 1996,27,"Rep. Oxley, Michael G. [R-OH-4]",https://www.congress.gov/bill/104th-congress/house-bill/2036/text
23,849195804.1479543,-3024413094.6270933,19,HR1380 Truth in Lending Class Action Relief Act of 1995 104th Congress 1995 1996,16,"Rep. McCollum, Bill [R-FL-8]",https://www.congress.gov/bill/104th-congress/house-bill/1380/text
24,362556480.55521923,932013274.4680711,5,S1494 Housing Opportunity Program Extension Act of 1996 104th Congress 1995 1996,79,"Sen. D'Amato, Alfonse [R-NY]",https://www.congress.gov/bill/104th-congress/senate-bill/1494/text
25,314861699.2898792,-161542386.96057558,15,HR3136 Contract with America Advancement Act of 1996 104th Congress 1995 1996,212,"Rep. Archer, Bill [R-TX-7]",https://www.congress.gov/bill/104th-congress/house-bill/3136/text
26,654798083.7103946,-553161034.0291514,5,HJRes170 Making further continuing appropriations for the fiscal year 1996 and for other purposes 104th Congress 1995 1996,23,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/170/text
27,2771903692.910153,-799729424.282964,3,HR1266 Greens Creek Land Exchange Act of 1995 104th Congress 1995 1996,30,"Rep. Young, Don [R-AK-At Large]",https://www.congress.gov/bill/104th-congress/house-bill/1266/text
28,-2028890066.0136151,2797939048.0523477,8,HR1787 To amend the Federal Food Drug and Cosmetic Act to repeal the saccharin notice requirement 104th Congress 1995 1996,12,"Rep. Bilbray, Brian P. [R-CA-49]",https://www.congress.gov/bill/104th-congress/house-bill/1787/text
29,1711665033.6639497,-511723503.96102643,4,HJRes78 To grant the consent of the Congress to certain additional powers conferred upon the Bi State Development Agency by the States of Missouri and Illinois 104th Congress 1995 1996,13,"Rep. Talent, Jim [R-MO-2]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/78/text
30,-11854186958.183376,13217968064.8756,18,SJRes38 A joint resolution granting the consent of Congress to the Vermont New Hampshire Interstate Public Water Supply Compact 104th Congress 1995 1996,39,"Sen. Leahy, Patrick J. [D-VT]",https://www.congress.gov/bill/104th-congress/senate-joint-resolution/38/text
31,235574656.81626797,-145057175.9915252,1,HR2854 Federal Agriculture Improvement and Reform Act of 1996 104th Congress 1995 1996,2206,"Rep. Roberts, Pat [R-KS-1]",https://www.congress.gov/bill/104th-congress/house-bill/2854/text
32,146473097.83561727,20266195.353186294,12,HR2969 Federal Tea Tasters Repeal Act of 1996 104th Congress 1995 1996,16,"Rep. Klug, Scott L. [R-WI-2]",https://www.congress.gov/bill/104th-congress/house-bill/2969/text
33,-878288263.0298353,-367329123.4107053,4,HJRes168 Waiving certain enrollment requirements with respect to two bills of the One Hundred Fourth Congress 104th Congress 1995 1996,10,"Rep. Ney, Robert W. [R-OH-18]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/168/text
34,1193469034.0957978,1142383307.5466173,1,S244 Paperwork Reduction Act of 1995 104th Congress 1995 1996,134,"Sen. Nunn, Sam [D-GA]",https://www.congress.gov/bill/104th-congress/senate-bill/244/text
35,5770773569.509396,8857092443.955948,19,S4 Line Item Veto Act 104th Congress 1995 1996,81,"Sen. Dole, Robert J. [R-KS]",https://www.congress.gov/bill/104th-congress/senate-bill/4/text
36,-31608796804.678265,29619881085.65275,4,HJRes175 Deposit Insurance Funds Act of 1996 104th Congress 1995 1996,10,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-joint-resolution/175/text
37,-325328151.801595,-418334042.83697623,19,S735 Antiterrorism and Effective Death Penalty Act of 1996 104th Congress 1995 1996,794,"Sen. Dole, Robert J. [R-KS]",https://www.congress.gov/bill/104th-congress/senate-bill/735/text
38,-940097692.2128072,-156259917.12110257,18,HR3034 To amend the Indian Self Determination and Education Assistance Act to extend for two months the authority for promulgating regulations under the Act 104th Congress 1995 1996,12,"Rep. Miller, George [D-CA-7]",https://www.congress.gov/bill/104th-congress/house-bill/3034/text
39,1631990138.218891,-172451092.90248418,5,HR3019 Omnibus Consolidated Rescissions and Appropriations Act of 1996 104th Congress 1995 1996,2932,"Rep. Livingston, Bob [R-LA-1]",https://www.congress.gov/bill/104th-congress/house-bill/3019/text
40,222146720.8604725,26578663.242018703,14,HR255 To designate the Federal Justice Building in Miami Florida as the James Lawrence King Federal Justice Building 104th Congress 1995 1996,14,"Rep. Hastings, Alcee L. [D-FL-23]",https://www.congress.gov/bill/104th-congress/house-bill/255/text
41,969797744.1495898,1394909715.0889103,2,HR869 To designate the Federal building and US Courthouse located at 125 Market Street in Youngstown Ohio as the Thomas D Lambros Federal Building and US Courthouse 104th Congress 1995 1996,14,"Rep. Traficant, James A., Jr. [D-OH-17]",https://www.congress.gov/bill/104th-congress/house-bill/869/text
42,24806477778.898834,-2096655161.3963928,14,HR1804 To designate the United States Post Office Courthouse located at South 6th and Rogers Avenue Fort Smith Arkansas as the Judge Isaac C Parker Federal Building 104th Congress 1995 1996,13,"Rep. Hutchinson, Tim [R-AR-3]",https://www.congress.gov/bill/104th-congress/house-bill/1804/text
43,-123120982.26313925,-477843248.7644663,14,HR2415 To designate the United States Customs Administrative Building at the YsletaZaragosa Port of Entry located at 797 South Ysleta in El Paso Texas as the Timothy C McCaghren Customs Administrative Building 104th Congress 1995 1996,14,"Rep. Coleman, Ronald D. [D-TX-16]",https://www.congress.gov/bill/104th-congress/house-bill/2415/text
44,18670004.476366267,-401595373.77702546,14,HR2556 To redesignate the Federal building located at 345 Middlefield Road in Menlo Park California and known as the Earth Sciences and Library Building as the Vincent E McKelvey Federal Building 104th Congress 1995 1996,14,"Rep. Eshoo, Anna G. [D-CA-14]",https://www.congress.gov/bill/104th-congress/house-bill/2556/text
45,-28686888663.260147,2760491361.9721117,19,HR1421 To provide that references in the statutes of the United States to any committee or officer of the House of Representatives the name or jurisdiction of which was changed as part of the reorganization of the House of Representatives at the beginning of the One Hundred Fourth Congress shall be treated as referring to the currently applicable committee or officer of the House of Representatives 104th Congress 1995 1996,21,"Rep. Thomas, William M. [R-CA-21]",https://www.congress.gov/bill/104th-congress/house-bill/1421/text
46,1046010408.3303618,-1460420292.666238,4,SJRes53 A joint resolution making corrections to Public Law 104 134 104th Congress 1995 1996,12,"Sen. Hatfield, Mark O. [R-OR]",https://www.congress.gov/bill/104th-congress/senate-joint-resolution/53/text
47,-4789558216.222984,-10344268514.028355,1,HR3055 To amend section 326 of the Higher Education Act of 1965 to permit continued participation by Historically Black Graduate Professional Schools in the grant program authorized by that section 104th Congress 1995 1996,14,"Rep. Norwood, Charles W. [R-GA-10]",https://www.congress.gov/bill/104th-congress/house-bill/3055/text
48,5863515789.677619,-744281195.316378,19,HR2024 Mercury Containing and Rechargeable Battery Management Act 104th Congress 1995 1996,74,"Rep. Klug, Scott L. [R-WI-2]",https://www.congress.gov/bill/104th-congress/house-bill/2024/text
49,110029849.96396574,-1049131749.205443,18,HR2243 Trinity River Basin Fish and Wildlife Management Reauthorization Act of 1995 104th Congress 1995 1996,40,"Rep. Riggs, Frank [R-CA-1]",https://www.congress.gov/bill/104th-congress/house-bill/2243/text
50,9229458273.781797,-7390186700.108622,9,HR2064 To grant the consent of Congress to an amendment of the Historic Chattahoochee Compact between the States of Alabama and Georgia 104th Congress 1995 1996,24,"Rep. Everett, Terry [R-AL-2]",https://www.congress.gov/bill/104th-congress/house-bill/2064/text
51,167289964.64476904,-1576070512.9050717,19,HR2137 Megans Law 104th Congress 1995 1996,14,"Rep. Zimmer, Dick [R-NJ-12]",https://www.congress.gov/bill/104th-congress/house-bill/2137/text
52,-748797865.3092464,307466036.6613942,1,S641 Ryan White CARE Act Amendments of 1996 104th Congress 1995 1996,146,"Sen. Kassebaum, Nancy Landon [R-KS]",https://www.congress.gov/bill/104th-congress/senate-bill/641/text
53,-39937643.590740025,-55180063.828368396,18,HR1743 To amend the Water Resources Research Act of 1984 to extend the authorizations of appropriations through fiscal year 2000 and for other purposes 104th Congress 1995 1996,25,"Rep. Doolittle, John T. [R-CA-4]",https://www.congress.gov/bill/104th-congress/house-bill/1743/text
54,-23086638413.17196,-2262472030.930725,13,HR1836 To authorize the Secretary of the Interior to acquire property in the town of East Hampton Suffolk County New York for inclusion in the Amagansett National Wildlife Refuge 104th Congress 1995 1996,15,"Rep. Forbes, Michael P. [R-NY-1]",https://www.congress.gov/bill/104th-congress/house-bill/1836/text
